"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 29 23:21:26 MSK 2026","Fri May 29 23:21:27 MSK 2026","955","tests","test_password_recovery","TestPasswordRecovery","","","Переход на страницу восстановления пароля по кнопке «Восстановить пароль»",""
"passed","Fri May 29 23:18:44 MSK 2026","Fri May 29 23:18:46 MSK 2026","2113","tests","test_list_orders","TestOrderFeed","","","Клик на заказ - открывается всплывающее окно с деталями",""
"passed","Fri May 29 23:19:51 MSK 2026","Fri May 29 23:19:59 MSK 2026","7941","tests","test_list_orders","TestOrderFeed","","","После оформления заказа его номер появляется в разделе 'В работе'",""
"passed","Fri May 29 23:21:10 MSK 2026","Fri May 29 23:21:14 MSK 2026","4217","tests","test_main_functionality","TestMainFunctionality","","","Залогиненный пользователь может оформить заказ",""
"passed","Fri May 29 23:20:21 MSK 2026","Fri May 29 23:20:22 MSK 2026","1049","tests","test_main_functionality","TestMainFunctionality","","","Переход по клику на «Лента заказов»",""
"passed","Fri May 29 23:22:11 MSK 2026","Fri May 29 23:22:14 MSK 2026","2309","tests","test_profile","TestProfile","","","Переход в раздел «История заказов»",""
"passed","Fri May 29 23:20:31 MSK 2026","Fri May 29 23:20:32 MSK 2026","809","tests","test_main_functionality","TestMainFunctionality","","","Клик на ингредиент - появляется всплывающее окно с деталями",""
"passed","Fri May 29 23:20:41 MSK 2026","Fri May 29 23:20:43 MSK 2026","1964","tests","test_main_functionality","TestMainFunctionality","","","Всплывающее окно закрывается кликом по крестику",""
"passed","Fri May 29 23:19:31 MSK 2026","Fri May 29 23:19:37 MSK 2026","5755","tests","test_list_orders","TestOrderFeed","","","При создании нового заказа счётчик 'Выполнено за сегодня' увеличивается",""
"passed","Fri May 29 23:20:11 MSK 2026","Fri May 29 23:20:12 MSK 2026","1484","tests","test_main_functionality","TestMainFunctionality","","","Переход по клику на «Конструктор»",""
"passed","Fri May 29 23:21:58 MSK 2026","Fri May 29 23:22:00 MSK 2026","2017","tests","test_profile","TestProfile","","","Переход по клику на «Личный кабинет»",""
"passed","Fri May 29 23:19:16 MSK 2026","Fri May 29 23:19:21 MSK 2026","5784","tests","test_list_orders","TestOrderFeed","","","При создании нового заказа счётчик 'Выполнено за всё время' увеличивается",""
"passed","Fri May 29 23:20:51 MSK 2026","Fri May 29 23:20:53 MSK 2026","1477","tests","test_main_functionality","TestMainFunctionality","","","При добавлении ингредиента в заказ увеличивается каунтер",""
"passed","Fri May 29 23:22:26 MSK 2026","Fri May 29 23:22:28 MSK 2026","2898","tests","test_profile","TestProfile","","","Выход из аккаунта",""
"passed","Fri May 29 23:21:47 MSK 2026","Fri May 29 23:21:50 MSK 2026","2714","tests","test_password_recovery","TestPasswordRecovery","","","Клик по кнопке показать/скрыть пароль делает поле активным",""
"passed","Fri May 29 23:18:55 MSK 2026","Fri May 29 23:19:01 MSK 2026","6734","tests","test_list_orders","TestOrderFeed","","","Заказы пользователя из истории отображаются в ленте заказов",""
"passed","Fri May 29 23:21:36 MSK 2026","Fri May 29 23:21:38 MSK 2026","2339","tests","test_password_recovery","TestPasswordRecovery","","","Ввод почты и клик по кнопке «Восстановить»",""
